Timestamp,age,nationality,isVegetarian,foodType,priceRange,isTakeAway,frequency,isIndividual,isLikeDriveThrough,time,paymentMethod
8/2/2019 18:32:22,2,1,2,1,2,1,1,2,2,1,1
8/2/2019 18:32:23,2,1,1,1,2,1,1,2,1,4,1
8/2/2019 18:32:41,2,1,2,1,4,1,2,1,1,4,1
8/2/2019 18:33:32,3,1,2,"1,4",4,1,3,3,2,1,2
8/2/2019 18:35:12,2,1,2,"1,2,3,4,5",3,1,3,1,1,4,2
8/2/2019 18:36:15,2,1,2,"1,2",2,2,1,2,1,1,2
8/2/2019 18:41:03,2,1,2,"1,2",2,1,1,2,1,4,1
8/2/2019 18:42:39,2,1,1,1,2,1,1,2,1,1,1
8/2/2019 18:44:53,2,1,2,4,2,1,1,2,1,2,2
8/2/2019 18:45:15,2,1,2,"1,2,4",3,1,3,2,1,2,2
8/2/2019 18:46:03,2,1,2,"1,2,3,4",2,1,2,2,1,4,2
8/2/2019 18:48:06,2,1,2,1,2,2,1,2,1,4,1
8/2/2019 18:48:24,3,1,2,"1,2,4",4,1,1,3,1,1,1
8/2/2019 18:48:30,2,1,2,1,2,1,1,1,2,4,1
8/2/2019 18:49:16,2,1,2,1,2,1,2,2,1,2,1
8/2/2019 18:51:06,2,1,2,"1,2,4",3,1,1,3,2,4,1
8/2/2019 18:51:32,2,1,2,1,3,1,3,2,1,4,1
8/2/2019 18:53:30,1,1,2,4,3,1,4,3,1,4,1
8/2/2019 18:54:17,2,1,2,"1,2,4",2,2,1,1,2,2,1
8/2/2019 18:56:21,2,1,2,"1,2,4",2,2,1,1,1,4,1
8/2/2019 18:58:44,2,1,2,2,3,1,2,2,1,2,1
8/2/2019 18:58:47,2,1,2,1,3,2,1,2,1,4,2
8/2/2019 19:01:02,2,1,2,1,3,1,3,2,2,2,1
8/2/2019 19:02:29,2,1,2,2,2,1,1,3,1,4,1
8/2/2019 19:05:04,2,1,2,"1,4",1,2,2,2,1,2,1
8/2/2019 19:08:50,2,1,2,"1,2,4,5",2,1,1,2,1,4,1
8/2/2019 19:10:36,2,1,2,2,4,1,2,2,1,4,1
8/2/2019 19:12:05,2,1,2,1,2,1,4,1,1,2,1
8/2/2019 19:12:45,2,1,2,1,2,2,1,2,1,2,2
8/2/2019 19:13:54,2,1,2,"1,2,5",2,1,1,3,1,2,1
8/2/2019 19:17:05,2,1,2,2,2,2,2,2,1,2,1
8/2/2019 19:19:59,2,1,2,4,2,1,1,3,1,4,1
8/2/2019 19:32:56,2,1,2,1,1,2,1,2,1,4,1
8/2/2019 19:34:42,2,1,2,"1,4",3,2,2,2,1,2,2
8/2/2019 19:39:30,3,2,2,4,2,1,1,3,2,4,1
8/2/2019 19:42:22,2,1,1,1,2,1,1,3,1,4,1
8/2/2019 19:43:17,2,1,2,"1,4",4,2,2,1,2,1,1
8/2/2019 19:45:41,2,1,2,1,4,1,1,2,1,1,1
8/2/2019 19:46:57,2,1,2,2,1,2,1,3,1,2,1
8/2/2019 19:47:39,2,1,2,1,3,1,1,2,1,4,1
8/2/2019 19:55:36,2,1,2,1,4,1,4,3,1,2,1
8/2/2019 19:57:54,2,1,2,"1,2,4,5",3,1,4,2,1,4,2
8/2/2019 19:58:11,2,1,2,1,3,1,1,4,1,4,2
8/2/2019 19:59:50,2,1,2,4,3,2,1,2,1,3,1
8/2/2019 20:10:17,2,1,2,4,4,2,3,2,1,2,1
8/2/2019 20:19:15,2,1,2,"2,4",2,1,1,2,2,4,2
8/2/2019 20:19:34,2,1,2,"1,2,3,4,5",2,1,2,2,1,4,1
8/2/2019 20:22:04,2,1,2,4,2,1,1,3,1,4,2
8/2/2019 20:31:04,2,1,2,1,3,1,2,2,1,4,1
8/2/2019 20:34:15,2,2,2,"1,2,3,4,5",2,1,1,3,1,4,1
8/2/2019 20:34:48,2,1,2,"1,2,3,4,5",3,2,2,2,1,4,2
8/2/2019 20:35:59,2,1,2,1,2,2,1,2,1,1,1
8/2/2019 21:08:36,2,1,2,"4,5",3,1,3,2,2,1,2
8/2/2019 21:24:37,2,1,2,1,4,2,1,1,1,4,1
8/2/2019 21:28:37,2,1,2,1,2,2,2,1,1,2,2
8/2/2019 21:42:10,2,1,2,4,3,2,1,2,1,3,1
8/2/2019 21:46:06,2,1,2,1,3,1,1,1,1,3,2
8/2/2019 21:53:55,2,1,2,1,4,2,1,2,1,4,2
8/2/2019 21:56:29,2,1,2,"1,3,4",4,2,4,1,1,2,1
8/2/2019 22:28:03,1,1,2,3,3,1,4,3,1,4,2
8/2/2019 22:28:11,1,1,2,3,3,1,4,3,1,4,2
8/2/2019 22:37:10,2,1,2,1,2,1,2,2,2,4,1
